s	CaffeineConsumption
HG02629	4
HG02651	7
HG02682	6
HG02688	7
HG02690	6
HG02699	3
HG02760	4
HG02768	2
HG02771	2
HG02792	5
HG02798	6
HG02811	7
HG02814	8
HG02840	6
HG02870	2
HG02881	3
HG02970	2
HG02973	0
HG03009	5
HG03046	7
HG03074	5
HG03091	1
HG03105	4
HG03127	3
HG03193	2
HG03224	4
HG03237	6
HG03241	5
HG03247	4
HG03259	4
HG03267	1
HG03354	5
HG03366	5
HG03367	3
HG03380	1
HG03419	1
HG03451	3
HG03458	2
HG03490	4
HG03491	2
HG03511	1
HG03556	3
HG03563	3
HG03598	4
HG03603	4
HG03607	5
HG03636	6
HG03684	5
HG03686	4
HG03690	5
HG03731	0
HG03740	4
HG03755	5
HG03800	4
HG03815	3
HG03832	3
HG03850	4
HG03873	4
HG03897	3
HG03905	5
HG03937	6
HG03948	5
HG03973	3
HG04059	4
HG04063	4
HG04096	6
HG04099	3
HG04140	5
HG04171	5
HG04209	4
HG04210	5
HG04229	3
HG04239	5
NA07347	4
NA11918	6
NA11919	5
NA12045	7
NA12273	5
NA12342	6
NA12414	6
NA12546	4
NA12760	4
NA12878	5
NA18516	3
NA18525	5
NA18557	4
NA18565	3
NA18616	8
NA18623	4
NA18631	6
NA18740	8
NA18865	3
NA18873	4
NA18916	2
NA18960	5
NA18966	6
NA18975	6
NA18976	4
NA18978	3
NA18990	5
NA19060	7
NA19063	4
NA19086	5
NA19087	5
NA19096	6
NA19113	3
NA19118	2
NA19209	4
NA19314	5
NA19317	6
NA19379	7
NA19384	2
NA19390	4
NA19397	2
NA19399	1
NA19404	5
NA19446	3
NA19655	4
NA19657	9
NA19670	6
NA19678	4
NA19679	3
NA19701	4
NA19720	4
NA19756	6
NA19764	7
NA20318	6
NA20351	3
NA20517	4
NA20518	3
NA20529	6
NA20587	6
NA20757	3
NA20798	4
NA20799	4
NA20810	4
NA20826	6
NA20858	7
NA20864	4
NA20869	5
NA20877	4
NA20888	5
NA20910	5
NA21101	6
NA21113	4
NA21114	6
NA21116	4
NA21118	6
NA21133	5
NA21143	5
