s	PurpleHair
HG00096	0
HG00099	0
HG00105	0
HG00118	0
HG00129	0
HG00148	1
HG00254	0
HG00271	0
HG00332	1
HG00335	1
HG00421	0
HG00452	0
HG00472	1
HG00534	1
HG00583	1
HG00598	1
HG00619	1
HG00623	1
HG00657	1
HG00663	0
HG00704	1
HG00705	1
HG00733	0
HG00881	0
HG01052	0
HG01070	0
HG01075	0
HG01164	1
HG01174	0
HG01241	1
HG01248	1
HG01256	1
HG01275	0
HG01284	1
HG01334	0
HG01348	1
HG01396	0
HG01443	0
HG01491	0
HG01498	0
HG01537	1
HG01572	0
HG01606	0
HG01623	1
HG01630	0
HG01783	0
HG01784	1
HG01790	1
HG01799	0
HG01801	1
HG01806	0
HG01812	0
HG01813	0
HG01817	0
HG01848	0
HG01849	1
HG01857	1
HG01863	0
HG01874	0
HG01915	1
HG01924	1
HG01965	1
HG01970	0
HG01991	0
HG02010	1
HG02020	0
HG02054	1
HG02086	1
HG02087	1
HG02116	1
HG02122	1
HG02130	1
HG02152	1
HG02154	1
HG02165	0
HG02232	1
HG02236	1
HG02250	1
HG02259	1
HG02298	1
HG02345	0
HG02351	0
HG02363	0
HG02373	1
HG02383	0
HG02384	1
HG02386	1
HG02388	0
HG02389	0
HG02397	0
HG02419	0
HG02462	1
HG02464	0
HG02497	1
HG02521	0
HG02561	1
HG02574	1
HG02580	1
HG02595	1
HG02603	1
HG02629	1
HG02651	1
HG02682	0
HG02688	1
HG02690	0
HG02699	0
HG02760	0
HG02768	1
HG02771	1
HG02792	0
HG02798	0
HG02811	1
HG02814	1
HG02840	1
HG02870	1
HG02881	1
HG02970	0
HG02973	0
HG03009	1
HG03046	1
HG03074	0
HG03091	0
HG03105	0
HG03127	0
HG03193	0
HG03224	1
HG03237	0
HG03241	0
HG03247	0
HG03259	0
HG03267	1
HG03354	0
HG03366	0
HG03367	0
HG03380	0
HG03419	0
HG03451	0
HG03458	0
HG03490	0
HG03491	1
HG03511	0
HG03556	0
HG03563	1
HG03598	1
HG03603	1
HG03607	0
HG03636	1
HG03684	0
HG03686	1
HG03690	1
HG03731	1
HG03740	1
HG03755	1
HG03800	1
HG03815	0
HG03832	0
HG03850	0
HG03873	0
HG03897	0
HG03905	0
HG03937	1
HG03948	1
HG03973	1
HG04059	1
HG04063	0
HG04096	0
HG04099	1
HG04140	0
HG04171	1
HG04209	1
HG04210	0
HG04229	0
HG04239	1
NA07347	0
NA11918	0
NA11919	1
NA12045	1
NA12273	1
NA12342	1
NA12414	1
NA12546	1
NA12760	0
NA12878	1
NA18516	1
NA18525	0
NA18557	0
NA18565	1
NA18616	1
NA18623	1
NA18631	0
NA18740	1
NA18865	0
NA18873	0
NA18916	0
NA18960	1
NA18966	1
NA18975	1
NA18976	0
NA18978	0
NA18990	0
NA19060	0
NA19063	0
NA19086	1
NA19087	0
NA19096	0
NA19113	0
NA19118	1
NA19209	0
NA19314	0
NA19317	1
NA19379	0
NA19384	0
NA19390	0
NA19397	0
NA19399	0
NA19404	1
NA19446	0
NA19655	1
NA19657	1
NA19670	0
NA19678	0
NA19679	0
NA19701	0
NA19720	1
NA19756	0
NA19764	1
NA20318	0
NA20351	1
NA20517	1
NA20518	0
NA20529	0
NA20587	0
NA20757	0
NA20798	1
NA20799	1
NA20810	1
NA20826	1
NA20858	1
NA20864	1
NA20869	0
NA20877	0
NA20888	1
NA20910	0
NA21101	0
NA21113	1
NA21114	1
NA21116	1
NA21118	0
NA21133	1
NA21143	1
