
 Running on port 18601
ID: -1rs Msg Type: 0
ID: 0 Msg Type: 1
ID: 1 Msg Type: 1
ID: 2 Msg Type: 1
ID: 3 Msg Type: 1
ID: 4 Msg Type: 1
ID: 5 Msg Type: 1
ID: 6 Msg Type: 1
ID: 7 Msg Type: 1
ID: 0 Msg Type: 2
ID: 8 Msg Type: 1
ID: 1 Msg Type: 2
ID: 0 Msg Type: 3
ID: 9 Msg Type: 1
ID: 1 Msg Type: 3
ID: 2 Msg Type: 2
ID: 10 Msg Type: 1
ID: 3 Msg Type: 2
ID: 2 Msg Type: 3
ID: 11 Msg Type: 1
ID: 3 Msg Type: 3
ID: 4 Msg Type: 2
ID: 12 Msg Type: 1
ID: 9 Msg Type: 2
ID: 4 Msg Type: 3
ID: 5 Msg Type: 2
ID: 13 Msg Type: 1
ID: 6 Msg Type: 2
ID: 9 Msg Type: 3
ID: 5 Msg Type: 3
ID: 14 Msg Type: 1
ID: 6 Msg Type: 3
ID: 15 Msg Type: 1
ID: 8 Msg Type: 2
ID: 8 Msg Type: 3
ID: 7 Msg Type: 2
ID: 10 Msg Type: 2
ID: 7 Msg Type: 3
ID: 10 Msg Type: 3
ID: 11 Msg Type: 2
ID: 12 Msg Type: 2
ID: 11 Msg Type: 3
ID: 12 Msg Type: 3
ID: 13 Msg Type: 2
ID: 13 Msg Type: 3
ID: 15 Msg Type: 2
ID: 14 Msg Type: 2
ID: 15 Msg Type: 3
ID: 14 Msg Type: 3
Fill/encryption time total: 32484550
Sending first message: 1692645468584
Sending last message: 1692645472927
Data send time total: 4342968
ID: -1rs Msg Type: 4

 Running on port 18601
ID: -1rs Msg Type: 0
ID: 0 Msg Type: 1
ID: 1 Msg Type: 1
ID: 2 Msg Type: 1
ID: 3 Msg Type: 1
ID: 4 Msg Type: 1
ID: 5 Msg Type: 1
ID: 6 Msg Type: 1
ID: 7 Msg Type: 1
ID: 0 Msg Type: 2
ID: 8 Msg Type: 1
ID: 1 Msg Type: 2
ID: 0 Msg Type: 3
ID: 9 Msg Type: 1
ID: 2 Msg Type: 2
ID: 1 Msg Type: 3
ID: 10 Msg Type: 1
ID: 3 Msg Type: 2
ID: 2 Msg Type: 3
ID: 4 Msg Type: 2
ID: 11 Msg Type: 1
ID: 3 Msg Type: 3
ID: 12 Msg Type: 1
ID: 4 Msg Type: 3
ID: 5 Msg Type: 2
ID: 13 Msg Type: 1
ID: 5 Msg Type: 3
ID: 6 Msg Type: 2
ID: 14 Msg Type: 1
ID: 7 Msg Type: 2
ID: 6 Msg Type: 3
ID: 15 Msg Type: 1
ID: 7 Msg Type: 3
ID: 8 Msg Type: 2
ID: 11 Msg Type: 2
ID: 9 Msg Type: 2
ID: 8 Msg Type: 3
ID: 9 Msg Type: 3
ID: 11 Msg Type: 3
ID: 10 Msg Type: 2
ID: 12 Msg Type: 2
ID: 10 Msg Type: 3
ID: 12 Msg Type: 3
ID: 14 Msg Type: 2
ID: 13 Msg Type: 2
ID: 14 Msg Type: 3
ID: 13 Msg Type: 3
ID: 15 Msg Type: 2
ID: 15 Msg Type: 3
Fill/encryption time total: 31241061
Sending first message: 1692645796504
Sending last message: 1692645801045
Data send time total: 4541255
ID: -1rs Msg Type: 4

 Running on port 18601
ID: -1rs Msg Type: 0
ID: 0 Msg Type: 1
ID: 1 Msg Type: 1
ID: 2 Msg Type: 1
ID: 3 Msg Type: 1
ID: 4 Msg Type: 1
ID: 5 Msg Type: 1
ID: 6 Msg Type: 1
ID: 4 Msg Type: 2
ID: 2 Msg Type: 2
ID: 7 Msg Type: 1
ID: 4 Msg Type: 3
ID: 8 Msg Type: 1
ID: 2 Msg Type: 3
ID: 5 Msg Type: 2
ID: 3 Msg Type: 2
ID: 0 Msg Type: 2
ID: 3 Msg Type: 3
ID: 5 Msg Type: 3
ID: 9 Msg Type: 1
ID: 1 Msg Type: 2
ID: 0 Msg Type: 3
ID: 10 Msg Type: 1
ID: 7 Msg Type: 2
ID: 6 Msg Type: 2
ID: 1 Msg Type: 3
ID: 11 Msg Type: 1
ID: 7 Msg Type: 3
ID: 6 Msg Type: 3
ID: 12 Msg Type: 1
ID: 9 Msg Type: 2
ID: 13 Msg Type: 1
ID: 9 Msg Type: 3
ID: 8 Msg Type: 2
ID: 10 Msg Type: 2
ID: 11 Msg Type: 2
ID: 14 Msg Type: 1
ID: 8 Msg Type: 3
ID: 10 Msg Type: 3
ID: 15 Msg Type: 1
ID: 11 Msg Type: 3
ID: 12 Msg Type: 2
ID: 12 Msg Type: 3
ID: 13 Msg Type: 2
ID: 14 Msg Type: 2
ID: 13 Msg Type: 3
ID: 15 Msg Type: 2
ID: 14 Msg Type: 3
ID: 15 Msg Type: 3
Fill/encryption time total: 32120752
Sending first message: 1692646933287
Sending last message: 1692646937776
Data send time total: 4488955
ID: -1rs Msg Type: 4

 Running on port 18601
ID: -1rs Msg Type: 0
ID: 0 Msg Type: 1
ID: 1 Msg Type: 1
ID: 2 Msg Type: 1
ID: 3 Msg Type: 1
ID: 4 Msg Type: 1
ID: 5 Msg Type: 1
ID: 6 Msg Type: 1
ID: 7 Msg Type: 1
ID: 0 Msg Type: 2
ID: 8 Msg Type: 1
ID: 0 Msg Type: 3
ID: 1 Msg Type: 2
ID: 9 Msg Type: 1
ID: 1 Msg Type: 3
ID: 2 Msg Type: 2
ID: 10 Msg Type: 1
ID: 3 Msg Type: 2
ID: 2 Msg Type: 3
ID: 3 Msg Type: 3
ID: 11 Msg Type: 1
ID: 4 Msg Type: 2
ID: 12 Msg Type: 1
ID: 5 Msg Type: 2
ID: 4 Msg Type: 3
ID: 13 Msg Type: 1
ID: 5 Msg Type: 3
ID: 6 Msg Type: 2
ID: 14 Msg Type: 1
ID: 6 Msg Type: 3
ID: 7 Msg Type: 2
ID: 15 Msg Type: 1
ID: 8 Msg Type: 2
ID: 7 Msg Type: 3
ID: 8 Msg Type: 3
ID: 9 Msg Type: 2
ID: 11 Msg Type: 2
ID: 9 Msg Type: 3
ID: 11 Msg Type: 3
ID: 10 Msg Type: 2
ID: 12 Msg Type: 2
ID: 10 Msg Type: 3
ID: 12 Msg Type: 3
ID: 14 Msg Type: 2
ID: 13 Msg Type: 2
ID: 14 Msg Type: 3
ID: 15 Msg Type: 2
ID: 13 Msg Type: 3
ID: 15 Msg Type: 3
Fill/encryption time total: 31333894
Sending first message: 1692647277173
Sending last message: 1692647281476
Data send time total: 4302723
ID: -1rs Msg Type: 4

 Running on port 18601
ID: -1rs Msg Type: 0
ID: 0 Msg Type: 1
ID: 1 Msg Type: 1
ID: 2 Msg Type: 1
ID: 3 Msg Type: 1
ID: 4 Msg Type: 1
ID: 5 Msg Type: 1
ID: 6 Msg Type: 1
ID: 7 Msg Type: 1
ID: 0 Msg Type: 2
ID: 2 Msg Type: 2
ID: 8 Msg Type: 1
ID: 0 Msg Type: 3
ID: 2 Msg Type: 3
ID: 9 Msg Type: 1
ID: 10 Msg Type: 1
ID: 1 Msg Type: 2
ID: 11 Msg Type: 1
ID: 1 Msg Type: 3
ID: 6 Msg Type: 2
ID: 12 Msg Type: 1
ID: 6 Msg Type: 3
ID: 3 Msg Type: 2
ID: 13 Msg Type: 1
ID: 4 Msg Type: 2
ID: 3 Msg Type: 3
ID: 4 Msg Type: 3
ID: 14 Msg Type: 1
ID: 5 Msg Type: 2
ID: 15 Msg Type: 1
ID: 5 Msg Type: 3
ID: 9 Msg Type: 2
ID: 7 Msg Type: 2
ID: 9 Msg Type: 3
ID: 8 Msg Type: 2
ID: 7 Msg Type: 3
ID: 8 Msg Type: 3
ID: 13 Msg Type: 2
ID: 10 Msg Type: 2
ID: 13 Msg Type: 3
ID: 14 Msg Type: 2
ID: 10 Msg Type: 3
ID: 11 Msg Type: 2
ID: 14 Msg Type: 3
ID: 12 Msg Type: 2
ID: 11 Msg Type: 3
ID: 12 Msg Type: 3
ID: 15 Msg Type: 2
ID: 15 Msg Type: 3
Fill/encryption time total: 31944190
Sending first message: 1692648425918
Sending last message: 1692648430358
Data send time total: 4439424
ID: -1rs Msg Type: 4

 Running on port 18601
ID: -1rs Msg Type: 0
ID: 0 Msg Type: 1
ID: 1 Msg Type: 1
ID: 2 Msg Type: 1
ID: 3 Msg Type: 1
ID: 4 Msg Type: 1
ID: 5 Msg Type: 1
ID: 6 Msg Type: 1
ID: 7 Msg Type: 1
ID: 0 Msg Type: 2
ID: 8 Msg Type: 1
ID: 1 Msg Type: 2
ID: 0 Msg Type: 3
ID: 9 Msg Type: 1
ID: 1 Msg Type: 3
ID: 2 Msg Type: 2
ID: 10 Msg Type: 1
ID: 2 Msg Type: 3
ID: 3 Msg Type: 2
ID: 11 Msg Type: 1
ID: 4 Msg Type: 2
ID: 3 Msg Type: 3
ID: 12 Msg Type: 1
ID: 4 Msg Type: 3
ID: 5 Msg Type: 2
ID: 13 Msg Type: 1
ID: 5 Msg Type: 3
ID: 6 Msg Type: 2
ID: 14 Msg Type: 1
ID: 6 Msg Type: 3
ID: 15 Msg Type: 1
ID: 10 Msg Type: 2
ID: 8 Msg Type: 2
ID: 7 Msg Type: 2
ID: 10 Msg Type: 3
ID: 8 Msg Type: 3
ID: 9 Msg Type: 2
ID: 7 Msg Type: 3
ID: 9 Msg Type: 3
ID: 14 Msg Type: 2
ID: 15 Msg Type: 2
ID: 11 Msg Type: 2
ID: 14 Msg Type: 3
ID: 11 Msg Type: 3
ID: 15 Msg Type: 3
ID: 12 Msg Type: 2
ID: 13 Msg Type: 2
ID: 12 Msg Type: 3
ID: 13 Msg Type: 3
Fill/encryption time total: 30290209
Sending first message: 1692648760504
Sending last message: 1692648764794
Data send time total: 4290221
ID: -1rs Msg Type: 4

 Running on port 18601
ID: -1rs Msg Type: 0
ID: 0 Msg Type: 1
ID: 1 Msg Type: 1
ID: 2 Msg Type: 1
ID: 3 Msg Type: 1
ID: 4 Msg Type: 1
ID: 5 Msg Type: 1
ID: 6 Msg Type: 1
ID: 7 Msg Type: 1
ID: 0 Msg Type: 2
ID: 8 Msg Type: 1
ID: 0 Msg Type: 3
ID: 1 Msg Type: 2
ID: 9 Msg Type: 1
ID: 1 Msg Type: 3
ID: 2 Msg Type: 2
ID: 10 Msg Type: 1
ID: 3 Msg Type: 2
ID: 2 Msg Type: 3
ID: 11 Msg Type: 1
ID: 4 Msg Type: 2
ID: 3 Msg Type: 3
ID: 12 Msg Type: 1
ID: 4 Msg Type: 3
ID: 5 Msg Type: 2
ID: 13 Msg Type: 1
ID: 5 Msg Type: 3
ID: 6 Msg Type: 2
ID: 14 Msg Type: 1
ID: 6 Msg Type: 3
ID: 7 Msg Type: 2
ID: 15 Msg Type: 1
ID: 7 Msg Type: 3
ID: 8 Msg Type: 2
ID: 9 Msg Type: 2
ID: 8 Msg Type: 3
ID: 9 Msg Type: 3
ID: 10 Msg Type: 2
ID: 11 Msg Type: 2
ID: 10 Msg Type: 3
ID: 12 Msg Type: 2
ID: 11 Msg Type: 3
ID: 12 Msg Type: 3
ID: 13 Msg Type: 2
ID: 13 Msg Type: 3
ID: 14 Msg Type: 2
ID: 15 Msg Type: 2
ID: 14 Msg Type: 3
ID: 15 Msg Type: 3
Fill/encryption time total: 32216658
