Log 1000

 Running on port 6401
ID/Client: client1 Msg Type: 1
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: 40 Msg Type: 3
ID/Client: 11 Msg Type: 3
ID/Client: 25 Msg Type: 3
ID/Client: 12 Msg Type: 3
ID/Client: 57 Msg Type: 3
ID/Client: 34 Msg Type: 3
ID/Client: 30 Msg Type: 3
ID/Client: 63 Msg Type: 3
ID/Client: 54 Msg Type: 3
ID/Client: 38 Msg Type: 3
ID/Client: 22 Msg Type: 3
ID/Client: 45 Msg Type: 3
ID/Client: 50 Msg Type: 3
ID/Client: 4 Msg Type: 3
ID/Client: 41 Msg Type: 3
ID/Client: 55 Msg Type: 3
ID/Client: 15 Msg Type: 3
ID/Client: 9 Msg Type: 3
ID/Client: 21 Msg Type: 3
ID/Client: 24 Msg Type: 3
ID/Client: 14 Msg Type: 3
ID/Client: 29 Msg Type: 3
ID/Client: 26 Msg Type: 3
ID/Client: 60 Msg Type: 3
ID/Client: 3 Msg Type: 3
ID/Client: 36 Msg Type: 3
ID/Client: 56 Msg Type: 3
ID/Client: 10 Msg Type: 3
