s	CaffeineConsumption
HG00096	4
HG00099	4
HG00105	4
HG00118	3
HG00129	6
HG00148	2
HG00254	2
HG00271	5
HG00332	5
HG00335	4
HG00421	6
HG00452	5
HG00472	7
HG00534	5
HG00583	7
HG00598	1
HG00619	5
HG00623	5
HG00657	4
HG00663	4
HG00704	5
HG00705	5
HG00733	5
HG00881	6
HG01052	4
HG01070	4
HG01075	6
HG01164	3
HG01174	3
HG01241	5
HG01248	4
HG01256	4
HG01275	5
HG01284	5
HG01334	4
HG01348	6
HG01396	5
HG01443	4
HG01491	4
HG01498	5
HG01537	6
HG01572	3
HG01606	7
HG01623	5
HG01630	5
HG01783	6
HG01784	3
HG01790	2
HG01799	5
HG01801	5
HG01806	4
HG01812	6
HG01813	5
HG01817	6
HG01848	4
HG01849	6
HG01857	7
HG01863	6
HG01874	7
HG01915	3
HG01924	5
HG01965	6
HG01970	5
HG01991	6
HG02010	4
HG02020	5
HG02054	4
HG02086	4
HG02087	5
HG02116	8
HG02122	3
HG02130	4
HG02152	4
HG02154	7
HG02165	5
HG02232	2
HG02236	6
HG02250	7
HG02259	6
HG02298	5
HG02345	3
HG02351	4
HG02363	5
HG02373	5
HG02383	5
HG02384	5
HG02386	6
HG02388	4
HG02389	5
HG02397	7
HG02419	2
HG02462	3
HG02464	3
HG02497	2
HG02521	6
HG02561	4
HG02574	2
HG02580	6
HG02595	5
HG02603	3
