Log 1000

 Running on port 6401
ID/Client: client1 Msg Type: 1
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
ID/Client: -1 Msg Type: 0
Starting enforcer
ID/Client: 12 Msg Type: 3
ID/Client: 59 Msg Type: 3
ID/Client: 24 Msg Type: 3
ID/Client: 16 Msg Type: 3
ID/Client: 6 Msg Type: 3
ID/Client: 9 Msg Type: 3
ID/Client: 50 Msg Type: 3
ID/Client: 41 Msg Type: 3
ID/Client: 39 Msg Type: 3
ID/Client: 60 Msg Type: 3
ID/Client: 23 Msg Type: 3
ID/Client: 7 Msg Type: 3
ID/Client: 22 Msg Type: 3
ID/Client: 49 Msg Type: 3
ID/Client: 2 Msg Type: 3
ID/Client: 38 Msg Type: 3
ID/Client: 1 Msg Type: 3
ID/Client: 43 Msg Type: 3
ID/Client: 34 Msg Type: 3
ID/Client: 13 Msg Type: 3
ID/Client: 47 Msg Type: 3
ID/Client: 55 Msg Type: 3
ID/Client: 28 Msg Type: 3
ID/Client: 57 Msg Type: 3
ID/Client: 29 Msg Type: 3
ID/Client: 20 Msg Type: 3
ID/Client: 62 Msg Type: 3
ID/Client: 37 Msg Type: 3
