s	PurpleHair
HG00096	false
HG00099	false
HG00105	false
HG00118	false
HG00129	false
HG00148	true
HG00254	false
HG00271	false
HG00332	true
HG00335	true
HG00421	false
HG00452	false
HG00472	true
HG00534	true
HG00583	true
HG00598	true
HG00619	true
HG00623	true
HG00657	true
HG00663	false
HG00704	true
HG00705	true
HG00733	false
HG00881	false
HG01052	false
HG01070	false
HG01075	false
HG01164	true
HG01174	false
HG01241	true
HG01248	true
HG01256	true
HG01275	false
HG01284	true
HG01334	false
HG01348	true
HG01396	false
HG01443	false
HG01491	false
HG01498	false
HG01537	true
HG01572	false
HG01606	false
HG01623	true
HG01630	false
HG01783	false
HG01784	true
HG01790	true
HG01799	false
HG01801	true
HG01806	false
HG01812	false
HG01813	false
HG01817	false
HG01848	false
HG01849	true
HG01857	true
HG01863	false
HG01874	false
HG01915	true
HG01924	true
HG01965	true
HG01970	false
HG01991	false
HG02010	true
HG02020	false
HG02054	true
HG02086	true
HG02087	true
HG02116	true
HG02122	true
HG02130	true
HG02152	true
HG02154	true
HG02165	false
HG02232	true
HG02236	true
HG02250	true
HG02259	true
HG02298	true
HG02345	false
HG02351	false
HG02363	false
HG02373	true
HG02383	false
HG02384	true
HG02386	true
HG02388	false
HG02389	false
HG02397	false
HG02419	false
HG02462	true
HG02464	false
HG02497	true
HG02521	false
HG02561	true
HG02574	true
HG02580	true
HG02595	true
HG02603	true
